IMAGE_LINKS, NAMES, DESCRIPTION, WIKI-LINK
https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX140_CR00140209_AL_.jpg ,  Aamir Khan , Aamir is no doubt one of the most dedicated actors in this world. With his recent success in India and China markets combined he has got the title of World's Biggest Superstar , https://en.m.wikipedia.org/wiki/Aamir_Khan
https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_UY209_CR130140209_AL_.jpg ,  Akshay Kumar , Akshay Kumar born September 9 1967 is an actor. He studied martial arts in Hong Kong , https://en.m.wikipedia.org/wiki/Akshay_Kumar
https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_UY209_CR60140209_AL_.jpg ,  Ajay Devgn , Ajay Devgn is an Indian film actor director and producer. He made his film debut with Phool Aur Kaante in 1991 and received a Filmfare Award for Best Male Debut for his performance in the film , https://en.m.wikipedia.org/wiki/Ajay_Devgn
https://m.media-amazon.com/images/M/MV5BOWUzNjU3YTUtOGIyMi00MDk3LTk1NDMtMzY4MDZlNDFhNTFhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR730140209_AL_.jpg ,  Amjad Khan , Amjad Khan was born on November 12 1940 in Hyderabad Hyderabad State British India. He was an actor and director known for Sholay (1975) Yaarana (1981) and Maa Kasam (1985) , https://en.m.wikipedia.org/wiki/Amjad_Khan
https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_UY209_CR60140209_AL_.jpg ,  Amitabh Bachchan , Son of well known poet Harivansh Rai Bachchan and Teji Bachchan. He has a brother named Ajitabh , https://en.m.wikipedia.org/wiki/Amitabh_Bachchan
https://m.media-amazon.com/images/M/MV5BNzZhNDQ1YzItNTVlOC00MmVmLTkzMjEtMDFmN2Q0MDU2YmQ3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR210140209_AL_.jpg ,  Amol Palekar , Amol Palekar was born on November 24 1944 in Bombay Bombay Presidency British India. He is an actor and director known for Kairee (1999) Bangarwadi (1995) and Gol Maal (1979) , https://en.m.wikipedia.org/wiki/Amol_Palekar
https://m.media-amazon.com/images/M/MV5BMTU2NzkzODA3OV5BMl5BanBnXkFtZTcwMzk2MDMyOA@@._V1_UX140_CR00140209_AL_.jpg ,  Abhay Deol , Abhay Deol (born in 1976 India) is an Indian film actor. He is the nephew of famous veteran actor Dharmendra and cousin of actors Sunny Deol and Bobby Deol and actress Esha Deol , https://en.m.wikipedia.org/wiki/Abhay_Deol
https://m.media-amazon.com/images/M/MV5BMjAxNDQyNDkxM15BMl5BanBnXkFtZTcwNTQyNTA0MQ@@._V1_UY209_CR870140209_AL_.jpg ,  Akshaye Khanna , Akshaye Khanna was born in Mumbai in 1975. He is the middle son of Bollywood actor and politician Vinod Khanna and the younger brother of actor Rahul Khanna , https://en.m.wikipedia.org/wiki/Akshaye_Khanna
https://m.media-amazon.com/images/M/MV5BNmMwOGYwMjUtN2M5My00ODIxLWI3ZjctODM2MGI4OGQzOWM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR60140209_AL_.jpg ,  Arshad Warsi , Arshad Warsi was born in Mumbai India and did his schooling at a boarding school Barnes School Deolali in Nashik district Maharashtra. He was orphaned at the age of 14 and struggled for a living in Mumbai during his early days , https://en.m.wikipedia.org/wiki/Arshad_Warsi
https://m.media-amazon.com/images/M/MV5BZTkxYmU1NmUtNGE4Ni00OWNmLWE5YzktNTJiZTlmMTIyMTM5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR10140209_AL_.jpg ,  Anushka Shetty , Anushka Shetty is an Indian Film Actress. She was also a Yoga Instructor and has trained under yoga guru Bharat Thakur , https://en.m.wikipedia.org/wiki/Anushka_Shetty
https://m.media-amazon.com/images/M/MV5BY2E1ODI1MGUtYWY1ZS00ZDdlLTg0ZDctNWU1NmJhM2UxYzU5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR00140209_AL_.jpg ,  Atul Kulkarni , Atul Kulkarni was born on September 10 1965 in Karnataka India. He is an actor known for Rang De Basanti (2006) Hey Ram (2000) and Page 3 (2005) , https://en.m.wikipedia.org/wiki/Atul_Kulkarni
https://m.media-amazon.com/images/M/MV5BMjEyNDQ4MzUzNF5BMl5BanBnXkFtZTgwNjY3OTczOTE@._V1_UX140_CR00140209_AL_.jpg ,  Asrani , Asrani was born in a middle class Sindhi family. His father migrated to Jaipur after the Partition of India and opened a shop selling carpets , https://en.m.wikipedia.org/wiki/Asrani
https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_UY209_CR870140209_AL_.jpg ,  Ayushmann Khurrana , Ayushmann Khurrana was born on 14 September 1984 in Chandigarh India. Ayushmann started off his career as a popular radio jockey and eventually became a VJ on MTV India and one of the most popular hosts in India , https://en.m.wikipedia.org/wiki/Ayushmann_Khurrana
https://m.media-amazon.com/images/M/MV5BYWIzYjZkZTAtNDM0MS00YjBiLWJlMjItZDY1YTJhNjMxNTExXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR00140209_AL_.jpg ,  Aruna Irani , Aruna Irani made her debut in the movie Gunga Jumna (1961) at nine years old playing Azra's character. After doing several small roles in films like Jahanara (1964) Farz (1967) Upkar (1967) and Aaya Sawan Jhoomke (1969) , https://en.m.wikipedia.org/wiki/Aruna_Irani
https://m.media-amazon.com/images/M/MV5BMjE4MjAxODk1NV5BMl5BanBnXkFtZTcwODQ0MjY2Nw@@._V1_UY209_CR870140209_AL_.jpg ,  Annu Kapoor , Annu Kapoor made his debut in the film Mandi directed by Shyam Benegal in 1983. His career has spanned nearly 30 years including a distinctive presence in Bollywood cinema television serials and reality game shows , https://en.m.wikipedia.org/wiki/Annu_Kapoor
